epoch, step, training_loss, eval_loss
0.05359056806002144, 500, 0.0427, N/A
0.05359056806002144, 500, N/A, 0.04877045005559921
0.10718113612004287, 1000, 0.0407, N/A
0.10718113612004287, 1000, N/A, 0.04888611659407616
0.1607717041800643, 1500, 0.0407, N/A
0.1607717041800643, 1500, N/A, 0.048965759575366974
0.21436227224008575, 2000, 0.0403, N/A
0.21436227224008575, 2000, N/A, 0.049026936292648315
0.2679528403001072, 2500, 0.0406, N/A
0.2679528403001072, 2500, N/A, 0.049055323004722595
0.3215434083601286, 3000, 0.0399, N/A
0.3215434083601286, 3000, N/A, 0.049105267971754074
0.37513397642015006, 3500, 0.0406, N/A
0.37513397642015006, 3500, N/A, 0.04913194850087166
0.4287245444801715, 4000, 0.0408, N/A
0.4287245444801715, 4000, N/A, 0.04914592206478119
0.48231511254019294, 4500, 0.0401, N/A
0.48231511254019294, 4500, N/A, 0.04917740449309349
0.5359056806002144, 5000, 0.0398, N/A
0.5359056806002144, 5000, N/A, 0.049189746379852295
0.5894962486602358, 5500, 0.0399, N/A
0.5894962486602358, 5500, N/A, 0.049202337861061096
0.6430868167202572, 6000, 0.04, N/A
0.6430868167202572, 6000, N/A, 0.049217890948057175
0.6966773847802786, 6500, 0.0404, N/A
0.6966773847802786, 6500, N/A, 0.04922494292259216
0.7502679528403001, 7000, 0.0401, N/A
0.7502679528403001, 7000, N/A, 0.04923098534345627
0.8038585209003215, 7500, 0.0403, N/A
0.8038585209003215, 7500, N/A, 0.04923921078443527
0.857449088960343, 8000, 0.0401, N/A
0.857449088960343, 8000, N/A, 0.04924184828996658
0.9110396570203644, 8500, 0.0403, N/A
0.9110396570203644, 8500, N/A, 0.04924086481332779
0.9646302250803859, 9000, 0.0397, N/A
0.9646302250803859, 9000, N/A, 0.04924147203564644
1.0, 9330, N/A, N/A
